Unique_ID,Similarity_score
0,0.3145642876625061
1,0.36667078733444214
2,0.28250980377197266
3,0.3831515312194824
4,0.20798373222351074
5,0.35331594944000244
6,0.30520159006118774
7,0.2880393862724304
8,0.37714284658432007
9,0.35486501455307007
10,0.3646806478500366
11,0.3229219913482666
12,0.23443818092346191
13,0.27158600091934204
14,0.36955946683883667
15,0.40158575773239136
16,0.19548475742340088
17,0.12686675786972046
18,0.27104443311691284
19,0.3295186161994934
20,0.3249319791793823
21,0.3547414541244507
22,0.3980320692062378
23,0.49026161432266235
24,0.24163901805877686
25,0.2970924973487854
26,0.37196141481399536
27,0.3309707045555115
28,0.365453839302063
29,0.3481277823448181
30,0.3036500811576843
31,0.3186874985694885
32,0.2495700716972351
33,0.40186214447021484
34,0.3318418860435486
35,0.2503620386123657
36,0.24149090051651
37,0.19904416799545288
38,0.28098762035369873
39,0.33424824476242065
40,0.2652415633201599
41,0.29903703927993774
42,0.32407939434051514
43,0.3622441291809082
44,0.34828126430511475
45,0.4591386914253235
46,0.14263516664505005
47,0.31681424379348755
48,0.32656753063201904
49,0.44056791067123413
50,0.2802332639694214
51,0.3035734295845032
52,0.348555326461792
53,0.2420005202293396
54,0.38995087146759033
55,0.23012793064117432
56,0.2867286205291748
57,0.25221991539001465
58,0.3714621663093567
59,0.44231897592544556
60,0.4044598937034607
61,0.3767338991165161
62,0.42768704891204834
63,0.3154084086418152
64,0.15445095300674438
65,0.3447479009628296
66,0.39548325538635254
67,0.2659125328063965
68,0.35960930585861206
69,0.4271833896636963
70,0.2589648962020874
71,0.4381486773490906
72,0.26798492670059204
73,0.1920562982559204
74,0.32273411750793457
75,0.45579493045806885
76,0.15953785181045532
77,0.3746168613433838
78,0.29757022857666016
79,0.16583186388015747
80,0.24094480276107788
81,0.5086428225040436
82,0.3807237148284912
83,0.09469348192214966
84,0.32325494289398193
85,0.35885298252105713
86,0.30359947681427
87,0.3467215299606323
88,0.34227871894836426
89,0.2757038474082947
90,0.31289345026016235
91,0.30707859992980957
92,0.2692742347717285
93,0.28924572467803955
94,0.38340622186660767
95,0.3784806728363037
96,0.3463681936264038
97,0.3170287609100342
98,0.1403471827507019
99,0.34364402294158936
100,0.3290562629699707
101,0.32894474267959595
102,0.3074793815612793
103,0.15777969360351562
104,0.35860246419906616
105,0.3526732325553894
106,0.3012433648109436
107,0.2640126347541809
108,0.340537965297699
109,0.42932194471359253
110,0.48741036653518677
111,0.3634057641029358
112,0.22887080907821655
113,0.4198366403579712
